会議室	かいぎしつ	conference room; council room
隅	すみ	corner; nook; recess / downstage right (on a noh stage)
研究室	けんきゅうしつ	laboratory / seminar room / professor's office
細かい	こまかい	small / fine; minute / minor; trivial / sensitive; attentive
坂	さか	slope; hill
場合	ばあい	case; situation
数学	すうがく	mathematics; arithmetic
祖父	そふ	grandfather / old man / kyogen mask used for the role of an old man
着物	きもの	clothing; clothes / kimono (or other trad. Japanese clothing)
注射	ちゅうしゃ	injection
丁寧	ていねい	polite; courteous; civil / careful; close; thorough; conscientious
田舎	いなか	rural area; countryside; the sticks / hometown
盗む	ぬすむ	to steal
倍	ばい	twice; double / times; -fold
旅館	りょかん	ryokan; Japanese-style lodging, usu. professionally-run
受付	うけつけ	reception (desk); information desk / receipt; acceptance
屋上	おくじょう	rooftop
火事	かじ	fire; conflagration
考える	かんがえる	to think about; to take into consideration / to ponder; to reflect; to try to come at a conclusion; to think over (something) / to intend; to decide (to do); to plan / to come up with; to devise; to scheme / to predict; to anticipate; to expect / to suspect; to doubt / to consider (somebody to be something); to look on
講堂	こうどう	auditorium; lecture hall
上がる	あがる	to rise; to go up; to come up; to ascend; to be raised / to enter (esp. from outdoors); to come in; to go in / to enter (a school); to advance to the next grade / to get out (of water); to come ashore / to increase / to improve; to make progress / to be promoted; to advance / to be made (of profit, etc.) / to occur (esp. of a favourable result) / to be adequate (to cover expenses, etc.) / to be finished; to be done; to be over / (of rain) to stop; to lift / to stop (working properly); to cut out; to give out; to die / to win (in a card game, etc.) / to be arrested / to turn up (of evidence, etc.) / to be deep fried / to be spoken loudly / to get stage fright / to be offered (to the gods, etc.) / to go; to visit / to eat; to drink / to be listed (as a candidate) / to serve (in one's master's home) / to go north / to be complete; to finish
食料品	しょくりょうひん	foodstuff; groceries
祖母	そぼ	grandmother
地理	ちり	geography
倒れる	たおれる	to fall (over, down); to collapse; to take a fall; to topple / to be destroyed (in a collapse); to collapse; to cave in; to crumble; to give away / to be confined to bed (with an illness); to come down with; to break down (e.g. from overwork) / to die; to be killed / to go bankrupt (of a company, bank, etc.); to fail; to collapse; to go under / to be defeated (in a game); to lose / to fall (of a government, dictator, etc.); to be overthrown
特急	とっきゅう	limited express (train, faster than an express) / great hurry
布団	ふとん	futon (quilted Japanese-style mattress laid out on the floor) / round cushion used for Zen meditation (traditionally made of woven bulrush leaves)
落ちる	おちる	to fall down; to drop; to fall (e.g. rain); to sink (e.g. sun or moon); to fall onto (e.g. light or one's gaze); to be used in a certain place (e.g. money) / to be omitted; to be missing / to decrease; to sink / to fail (e.g. exam or class); to lose (contest, election, etc.) / to crash; to degenerate; to degrade; to fall behind / to become indecent (of a conversation) / to be ruined; to go under / to fade; to come out (e.g. a stain); to come off (e.g. makeup); to be removed (e.g. illness, possessing spirit, name on a list) / to fall (into someone's hands); to become someone's possession / to fall (into a trap); to fall (for a trick) / to give in; to give up; to confess; to flee / to fall; to be defeated; to surrender / to come to (in the end); to end in / to fall (in love, asleep, etc.) / to swoon (judo) / to consent; to understand / to crash; to freeze / to die / to move to the depths
辞典	じてん	dictionary; lexicon
下着	したぎ	underwear
苦い	にがい	bitter
だいぶ	大分	considerably; greatly; a lot
棚	たな	shelf; shelves; ledge; rack / trellis
留守	るす	absence; being away from home / house-sitting; house-sitter / being left unattended to (of one's studies, etc.); neglecting
引き出し	ひきだし	drawer / withdrawal (of money from an account) / variety of knowledge and experience useful for handling things impromptu
見つかる	みつかる	to be found; to be discovered
以上	いじょう	not less than; ... and more; ... and upwards / beyond ... (e.g. one's means); further (e.g. nothing further to say); more than ... (e.g. cannot pay more than that) / above-mentioned; foregoing / since ...; seeing that ... / this is all; that is the end; the end
花見	はなみ	cherry blossom viewing; flower viewing
絹	きぬ	silk
消しゴム	けしゴム	eraser; India rubber
畳	たたみ	tatami mat; Japanese straw floor coverings
飾る	かざる	to decorate; to ornament; to adorn
退院	たいいん	leaving hospital; discharge from hospital
暮れる	くれる	to get dark; to grow dark / to end (of a day, year, season, etc.); to come to an end; to close / to be sunk in (e.g. despair); to be lost in (e.g. thought); to be overcome with
冷房	れいぼう	cooling; air-conditioning
起こす	おこす	to raise; to raise up; to set up; to pick up / to wake; to wake up; to waken; to awaken / to cause; to bring about; to lead to; to trigger; to give rise to; to create; to generate (e.g. heat, electricity); to produce / to start; to begin; to launch; to establish; to found; to set up; to open / to plough; to plow; to till / to fall ill with / to transcribe; to write down (what is spoken) / to turn over (a card)
硬い	かたい	hard; solid; tough / stiff; tight; wooden; unpolished (e.g. writing) / strong; firm (not viscous or easily moved) / safe; steady; honest; steadfast / obstinate; stubborn / bookish; formal; stuffy
だいたい	大体	outline; main point; gist / general; substantially; approximately; about / in the first place; to begin with; from the start
贈り物	おくりもの	present; gift
ご存じ	ごぞんじ	knowing / (an) acquaintance
景色	けしき	scenery; scene; landscape
見物	けんぶつ	sightseeing; watching; viewing / sightseer; watcher; spectator
指輪	ゆびわ	(finger) ring
受ける	うける	to receive; to get / to catch (e.g. a ball) / to be struck by (wind, waves, sunlight, etc.) / to sustain (damage); to incur (a loss); to suffer (an injury); to feel (influence) / to undergo (e.g. surgery); to take (a test); to accept (a challenge) / to be given (e.g. life, talent) / to find funny; to find humorous; to be amused (by) / to follow; to succeed; to be descended from / to face (south, etc.) / to be modified by / to obtain (a pawned item, etc.) by paying a fee / to be well-received; to become popular; to go down well
赤ん坊	あかんぼう	baby; infant
騒ぐ	さわぐ	to make noise; to make racket; to be noisy / to rustle; to swoosh / to make merry / to clamor; to clamour; to make a fuss; to kick up a fuss / to lose one's cool; to panic; to act flustered / to feel tense; to be uneasy; to be excited
通る	とおる	to go by; to go past; to go along; to travel along; to pass through; to use (a road); to take (a route); to go via; to go by way of / to run (between); to operate (between); to connect / to go indoors; to go into a room; to be admitted; to be shown in; to be ushered in; to come in / to penetrate; to pierce; to skewer; to go through; to come through / to permeate; to soak into; to spread throughout / to carry (e.g. of a voice); to reach far / to be passed on (e.g. of a customer's order to the kitchen); to be relayed; to be conveyed / to pass (a test, a bill in the House, etc.); to be approved; to be accepted / to go by (a name); to be known as; to be accepted as; to have a reputation for / to be coherent; to be logical; to be reasonable; to be comprehensible; to be understandable; to make sense / to get across (e.g. of one's point); to be understood / to be straight (e.g. wood grain) / to be well-informed; to be wise / to do ... completely; to do ... thoroughly
漬ける	つける	to soak; to seep; to dip in / to pickle
電報	でんぽう	telegram
飛行場	ひこうじょう	airfield; airport
品物	しなもの	goods; article; thing
優しい	やさしい	tender; kind; gentle; graceful; affectionate; amiable
寂しい	さびしい	lonely; lonesome; solitary; desolate
決まる	きまる	to be decided; to be settled / to look good in (clothes)
回る	まわる	to turn; to revolve / to visit several places / to function well / to pass a certain time
お嬢さん	おじょうさん	(another's) daughter / young lady
以外	いがい	with the exception of; excepting
